region,country,Location code,ISO3 Alpha-code,ISO2 Alpha-code,Year,"Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)",Institutionalized Democracy,Institutionalized Autocracy,Combined Polity Score,electoral democracy index,liberal democracy index,participatory democracy index,deliberative democracy index,egalitarian democracy index,Corruption Perception Index Score,EFW Overall Score,EFW 1. Size of Government,EFW 2. Legal System and Property Rights,EFW 3. Sound Money,EFW 4. Freedom to Trade Internationally,EFW 5. Regulation,WJP Overall Score: Rule of Law Index,WJP1. Constraints on Government Powers,WJP2. Absence of Corruption,WJP3. Open Government ,WJP4. Fundamental Rights,WJP5. Order and Security,WJP6. Regulatory Enforcement,WJP7. Civil Justice,WJP8. Criminal Justice,HDI,WGI PCA Score,WGI1_Accountability,WGI2_PoliticalStability,WGI3_GovtEffectiveness,WGI4_Regulatory,WGI5_RuleOfLaw,WGI6_ControlCorruption,Freedom House Index,Freedom Status,"GDP per Capita, PPP(Constant 2011)",E-Government Development Index,E-Participation Index,Public employment (total public sector)
Central Asia,Kazakhstan,398,KAZ,KZ,1968,11879 ,5739 ,6141 ,4 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1969,12156 ,5872 ,6285 ,5 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1970,12419 ,5997 ,6422 ,5 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1971,12685 ,6125 ,6560 ,5 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1972,12952 ,6253 ,6699 ,5 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1973,13208 ,6376 ,6832 ,5 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1974,13455 ,6494 ,6960 ,5 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1975,13701 ,6613 ,7088 ,5 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1976,13999 ,6751 ,7248 ,5 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1977,14353 ,6911 ,7442 ,5 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1978,14711 ,7072 ,7639 ,5 ,93 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1979,14979 ,7158 ,7821 ,6 ,92 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1980,15153 ,7206 ,7947 ,6 ,91 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1981,15323 ,7290 ,8033 ,6 ,91 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1982,15493 ,7374 ,8118 ,6 ,91 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1983,15666 ,7462 ,8203 ,6 ,91 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1984,15845 ,7554 ,8291 ,6 ,91 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1985,16031 ,7651 ,8380 ,6 ,91 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1986,16263 ,7774 ,8489 ,6 ,92 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1987,16528 ,7914 ,8613 ,6 ,92 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1988,16781 ,8046 ,8735 ,6 ,92 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1989,16997 ,8157 ,8840 ,6 ,92 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1990,17154 ,8239 ,8915 ,6 ,92 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.67 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,12109.71 ,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1991,17279 ,8304 ,8974 ,6 ,93 ,1.00 ,4.00 ,-3.00 ,0.29 ,0.17 ,0.09 ,0.18 ,0.23 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.67 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,12020.41 ,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1992,17333 ,8332 ,9000 ,6 ,93 ,1.00 ,4.00 ,-3.00 ,0.31 ,0.18 ,0.10 ,0.19 ,0.23 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.67 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,12758.24 ,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1993,17274 ,8302 ,8972 ,6 ,93 ,1.00 ,4.00 ,-3.00 ,0.31 ,0.18 ,0.11 ,0.19 ,0.23 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.66 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,9203.73 ,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1994,17044 ,8183 ,8860 ,6 ,92 ,1.00 ,4.00 ,-3.00 ,0.31 ,0.17 ,0.11 ,0.16 ,0.23 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.66 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,7405.51 ,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,1995,16731 ,8021 ,8709 ,6 ,92 ,0.00 ,6.00 ,-6.00 ,0.30 ,0.16 ,0.12 ,0.16 ,0.21 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.66 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,6520.97 ,NoData,NoData,2968700.00 
Central Asia,Kazakhstan,398,KAZ,KZ,1996,16416 ,7852 ,8564 ,6 ,92 ,0.00 ,6.00 ,-6.00 ,0.29 ,0.14 ,0.11 ,0.14 ,0.21 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.66 ,-0.89 ,-0.96 ,-0.37 ,-0.96 ,-0.33 ,-1.19 ,-1.13 ,NoData,NoData,6563.81 ,NoData,NoData,2386700.00 
Central Asia,Kazakhstan,398,KAZ,KZ,1997,16043 ,7646 ,8398 ,6 ,91 ,0.00 ,6.00 ,-6.00 ,0.30 ,0.15 ,0.11 ,0.11 ,0.21 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.66 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,6237.56 ,NoData,NoData,1903700.00 
Central Asia,Kazakhstan,398,KAZ,KZ,1998,15648 ,7426 ,8222 ,6 ,90 ,0.00 ,6.00 ,-6.00 ,0.29 ,0.14 ,0.11 ,0.09 ,0.21 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.67 ,-0.73 ,-0.76 ,0.19 ,-0.87 ,-0.41 ,-1.11 ,-1.08 ,NoData,NoData,5810.66 ,NoData,NoData,1656500.00 
Central Asia,Kazakhstan,398,KAZ,KZ,1999,15456 ,7316 ,8140 ,6 ,90 ,0.00 ,6.00 ,-6.00 ,0.27 ,0.14 ,0.11 ,0.09 ,0.20 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.67 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,5861.20 ,NoData,NoData,1399400.00 
Central Asia,Kazakhstan,398,KAZ,KZ,2000,15501 ,7336 ,8165 ,6 ,90 ,0.00 ,6.00 ,-6.00 ,0.27 ,0.14 ,0.10 ,0.11 ,0.20 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.68 ,-0.83 ,-0.97 ,0.09 ,-0.78 ,-0.61 ,-1.15 ,-1.15 ,NoData,NoData,6793.66 ,NoData,NoData,1304900.00 
Central Asia,Kazakhstan,398,KAZ,KZ,2001,15576 ,7373 ,8203 ,6 ,90 ,0.00 ,6.00 ,-6.00 ,0.26 ,0.13 ,0.10 ,0.09 ,0.20 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.70 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,7284.90 ,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,2002,15657 ,7412 ,8244 ,6 ,90 ,0.00 ,6.00 ,-6.00 ,0.25 ,0.13 ,0.09 ,0.08 ,0.19 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.71 ,-0.88 ,-1.07 ,0.36 ,-1.07 ,-0.69 ,-1.20 ,-1.11 ,NoData,NoData,7744.57 ,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,2003,15747 ,7459 ,8288 ,6 ,90 ,0.00 ,6.00 ,-6.00 ,0.25 ,0.13 ,0.09 ,0.09 ,0.20 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.72 ,-0.73 ,-1.09 ,0.36 ,-0.77 ,-0.40 ,-1.10 ,-1.03 ,NoData,NoData,8646.07 ,0.39 ,0.10 ,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,2004,15850 ,7516 ,8334 ,6 ,90 ,0.00 ,6.00 ,-6.00 ,0.25 ,0.13 ,0.09 ,0.11 ,0.19 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.73 ,-0.82 ,-1.13 ,0.07 ,-0.78 ,-0.47 ,-1.13 ,-1.11 ,NoData,NoData,9737.40 ,0.43 ,0.13 ,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,2005,15968 ,7582 ,8387 ,6 ,90 ,0.00 ,6.00 ,-6.00 ,0.24 ,0.13 ,0.09 ,0.10 ,0.19 ,NoData,6.56 ,8.08 ,5.02 ,6.71 ,5.55 ,7.46 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.74 ,-0.68 ,-1.03 ,0.19 ,-0.67 ,-0.28 ,-0.95 ,-1.01 ,NoData,NoData,11174.87 ,0.48 ,0.21 ,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,2006,16104 ,7655 ,8448 ,6 ,91 ,0.00 ,6.00 ,-6.00 ,0.24 ,0.13 ,0.09 ,0.10 ,0.19 ,NoData,6.45 ,7.89 ,5.02 ,6.16 ,5.52 ,7.66 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.75 ,-0.70 ,-1.19 ,0.21 ,-0.48 ,-0.34 ,-1.10 ,-1.00 ,NoData,NoData,13532.35 ,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,2007,16257 ,7740 ,8517 ,6 ,91 ,0.00 ,6.00 ,-6.00 ,0.24 ,0.13 ,0.09 ,0.10 ,0.19 ,NoData,6.73 ,7.74 ,5.23 ,7.69 ,5.37 ,7.63 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.76 ,-0.65 ,-1.16 ,0.65 ,-0.67 ,-0.35 ,-1.03 ,-0.99 ,NoData,NoData,15444.90 ,NoData,NoData,NoData
Central Asia,Kazakhstan,398,KAZ,KZ,2008,16427 ,7837 ,8589 ,6 ,91 ,0.00 ,6.00 ,-6.00 ,0.24 ,0.13 ,0.09 ,0.09 ,0.19 ,NoData,6.68 ,7.44 ,5.17 ,7.76 ,5.30 ,7.75 ,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,0.76 ,-0.58 ,-1.09 ,0.63 ,-0.52 ,-0.29 ,-0.93 ,-0.98 ,NoData,NoData,17691.43 ,0.47 ,0.09 ,NoData
